State,Case_Number,Persons,County,City,Month,Day,Route,Rural/Urban,Latitude,Longitude,First Harmful Event,Manner of Collision,Light Conditions,Weather
Illinois,170370,3,COOK (31),CHICAGO,June,Sunday,Local Street - Municipality,Urban,41.71537222,-87.57411389,Building,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170371,1,COOK (31),CHICAGO,June,Sunday,Local Street - Municipality,Urban,41.94076944,-87.83479722,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170372,3,KANE (89),SAINT CHARLES,June,Saturday,State Highway,Urban,41.92121944,-88.28169167,Motor Vehicle In-Transport,Sideswipe - Same Direction,Daylight,Clear
Illinois,170374,4,MADISON (119),COLLINSVILLE,June,Saturday,Interstate,Urban,38.67513611,-90.02926111,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Illinois,170375,13,MASSAC (127),METROPOLIS,June,Sunday,Interstate,Urban,37.16044167,-88.68244444,Motor Vehicle In-Transport,Front-to-Rear,Daylight,Clear
Illinois,170376,2,KANE (89),ELGIN,June,Tuesday,State Highway,Urban,42.04496667,-88.2933,Motor Vehicle In-Transport,Front-to-Front,Daylight,Clear
Illinois,170377,2,LAKE (97),WAUKEGAN,June,Saturday,Local Street - Municipality,Urban,42.36491944,-87.8483,Parked Motor Vehicle,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170379,2,COOK (31),CHICAGO,June,Saturday,Local Street - Municipality,Urban,41.92473056,-87.70685833,Motor Vehicle In-Transport,Angle,Dark - Lighted,Clear
Illinois,170380,2,COOK (31),MARKHAM,June,Sunday,Local Street - Municipality,Urban,41.59396667,-87.68480278,Building,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Illinois,170381,3,COOK (31),OAK FOREST,June,Saturday,State Highway,Urban,41.58866111,-87.73583889,Motor Vehicle In-Transport,Angle,Dark - Lighted,Clear
Illinois,170382,2,COOK (31),COUNTRYSIDE,June,Tuesday,Local Street - Municipality,Urban,41.76849444,-87.89094167,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dusk,Clear
Illinois,170383,3,COOK (31),CHICAGO,June,Wednesday,Local Street - Municipality,Urban,41.80967778,-87.59380278,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170385,1,WILL (197),MOKENA,June,Wednesday,U.S. Highway,Urban,41.55126667,-87.85307778,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170386,3,SANGAMON (167),SPRINGFIELD,June,Thursday,Interstate,Urban,39.857225,-89.615525,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170389,2,MCHENRY (111),FOX RIVER GROVE,June,Tuesday,State Highway,Urban,42.19375,-88.20784444,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170391,2,KENDALL (93),NEWARK,July,Monday,State Highway,Rural,41.53317222,-88.58568889,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170392,2,COOK (31),CHICAGO,July,Wednesday,Local Street - Municipality,Urban,41.76968889,-87.58595833,Motor Vehicle In-Transport,Angle,Dark - Lighted,Clear
Illinois,170394,3,TAZEWELL (179),SOUTH PEKIN,July,Wednesday,State Highway,Rural,40.49442222,-89.66382778,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170397,2,KANE (89),AURORA,April,Monday,Local Street - Municipality,Urban,41.770425,-88.33448056,Fell/Jumped from Vehicle,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Illinois,170399,3,COOK (31),CHICAGO,July,Thursday,Local Street - Municipality,Urban,41.93148889,-87.75130833,Motor Vehicle In-Transport,Front-to-Rear,Dark - Lighted,Clear
Illinois,170402,1,COOK (31),CHICAGO,July,Monday,Local Street - Municipality,Urban,41.99816944,-87.65594722,Curb,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Illinois,170404,1,KENDALL (93),PLANO,July,Monday,U.S. Highway,Urban,41.65749722,-88.55466944,Parked Motor Vehicle,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170405,5,PEORIA (143),PEORIA,July,Saturday,Interstate,Urban,40.72457222,-89.62005278,Motor Vehicle In-Transport,Front-to-Front,Daylight,Clear
Illinois,170406,2,MONROE (133),COLUMBIA,July,Tuesday,State Highway,Urban,38.45551111,-90.22073333,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170411,2,GRUNDY (63),MINOOKA,July,Saturday,County Road,Urban,41.42669167,-88.27032778,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170414,1,WINNEBAGO (201),ROCKFORD,July,Thursday,Local Street - Municipality,Urban,42.28738611,-89.02905278,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170415,3,MACON (115),MOUNT ZION,July,Friday,State Highway,Urban,39.78175556,-88.87055556,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170416,4,COOK (31),CHICAGO,July,Saturday,Interstate,Urban,41.82929167,-87.704925,Motor Vehicle In-Transport,Front-to-Front,Dark - Lighted,Clear
Illinois,170420,1,COOK (31),CHICAGO,July,Monday,Local Street - Municipality,Urban,41.77807222,-87.66419444,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170423,2,COOK (31),RIVER FOREST,July,Friday,Local Street - Municipality,Urban,41.90444167,-87.82509444,Curb,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170426,1,COOK (31),BARRINGTON HILLS,July,Monday,State Highway,Urban,42.10987222,-88.22349722,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170427,1,COOK (31),CHICAGO,July,Wednesday,Local Street - Municipality,Urban,41.89633333,-87.71146111,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170428,2,COOK (31),CHICAGO,July,Sunday,Interstate,Urban,41.82275833,-87.72480278,Guardrail Face,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Illinois,170429,4,DUPAGE (43),HANOVER PARK,July,Thursday,U.S. Highway,Urban,41.97638333,-88.12898056,Motor Vehicle In-Transport,Angle,Dark - Not Lighted,Clear
Illinois,170431,3,COOK (31),MELROSE PARK,July,Saturday,State Highway,Urban,41.90418611,-87.83483056,Motor Vehicle In-Transport,Sideswipe - Same Direction,Daylight,Clear
Illinois,170433,2,COOK (31),HOFFMAN ESTATES,July,Monday,Interstate,Urban,42.066225,-88.21855833,"Post, Pole or Other Supports",The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170434,2,MADISON (119),PONTOON BEACH,July,Friday,Interstate,Urban,38.75743333,-90.05298889,Motor Vehicle In-Transport,Sideswipe - Same Direction,Daylight,Clear
Illinois,170435,3,COOK (31),ELGIN,July,Sunday,Local Street - Municipality,Urban,42.02386111,-88.25196667,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170436,2,ROCK ISLAND (161),SILVIS,July,Sunday,State Highway,Urban,41.49425,-90.40553056,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170437,1,COOK (31),NORRIDGE,July,Monday,State Highway,Urban,41.95796667,-87.80721944,Ground,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Illinois,170441,4,WINNEBAGO (201),ROSCOE,July,Saturday,State Highway,Urban,42.45658056,-89.01955556,Motor Vehicle In-Transport,Front-to-Rear,Dark - Not Lighted,Clear
Illinois,170442,3,COOK (31),ROSEMONT,July,Sunday,Interstate,Urban,41.99109167,-87.86740556,Motor Vehicle In-Transport,Sideswipe - Same Direction,Dark - Lighted,Clear
Illinois,170444,4,COOK (31),CHICAGO,July,Saturday,Local Street - Frontage Road,Urban,41.85856389,-87.71033889,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Illinois,170446,1,KANE (89),AURORA,July,Tuesday,Local Street - Municipality,Urban,41.75167222,-88.35910556,Pedalcyclist,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Illinois,170447,4,COOK (31),SCHAUMBURG,July,Monday,State Highway,Urban,42.04953611,-88.07636389,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170448,5,KANE (89),ELGIN,July,Thursday,County Road,Urban,42.00188611,-88.33620278,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170449,3,SANGAMON (167),SPRINGFIELD,July,Wednesday,Local Street - Municipality,Urban,39.7688,-89.64986667,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170451,2,WINNEBAGO (201),ROCKFORD,July,Friday,U.S. Highway,Urban,42.26600833,-89.04145556,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170452,1,COOK (31),LANSING,July,Thursday,State Highway,Urban,41.57696944,-87.58025278,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Illinois,170453,3,COOK (31),FRANKLIN PARK,July,Saturday,Local Street - Municipality,Urban,41.94476667,-87.90376667,Motor Vehicle In-Transport,Front-to-Front,Daylight,Clear
Illinois,170454,1,COOK (31),CHICAGO,July,Saturday,U.S. Highway,Urban,41.82880556,-87.60365278,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Illinois,170456,1,COOK (31),TINLEY PARK,July,Sunday,Local Street - Municipality,Urban,41.56053333,-87.85056944,Curb,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Illinois,170459,2,COOK (31),ARLINGTON HEIGHTS,July,Saturday,Local Street - Municipality,Urban,42.15040556,-87.99045,Fell/Jumped from Vehicle,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170460,1,WILL (197),BOLINGBROOK,July,Sunday,Interstate,Urban,41.63196111,-88.16295,Concrete Traffic Barrier,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Illinois,170461,1,DUPAGE (43),VILLA PARK,July,Sunday,State Highway,Urban,41.87014167,-87.96145,Concrete Traffic Barrier,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170463,1,WILL (197),UNIVERSITY PARK,July,Sunday,Local Street - Municipality,Urban,41.45633611,-87.72484167,Traffic Signal Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170468,2,COOK (31),CHICAGO,July,Friday,Interstate,Urban,41.76519444,-87.62552778,Concrete Traffic Barrier,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170469,1,COOK (31),CHICAGO,July,Wednesday,Local Street - Municipality,Urban,41.77531389,-87.70305,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170470,2,DUPAGE (43),BARTLETT,July,Monday,State Highway,Urban,41.98238889,-88.20724444,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170472,1,DUPAGE (43),LISLE,July,Friday,County Road,Urban,41.78128056,-88.09283611,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Illinois,170473,3,COOK (31),ALSIP,July,Monday,Local Street - Municipality,Urban,41.68394444,-87.72243056,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170474,2,COOK (31),CHICAGO,July,Friday,Local Street - Municipality,Urban,41.80819444,-87.66494722,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dusk,Clear
Illinois,170478,1,COOK (31),WILMETTE,August,Friday,Local Street - Municipality,Urban,42.06981667,-87.72861111,Utility Pole/Light Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170479,3,COOK (31),CHICAGO,August,Friday,U.S. Highway,Urban,41.79707778,-87.57983056,Motor Vehicle In-Transport,Front-to-Rear,Dusk,Clear
Illinois,170480,2,ST. CLAIR (163),DUPO,August,Saturday,Interstate,Urban,38.52414167,-90.19716111,Motor Vehicle In-Transport,Front-to-Front,Dark - Not Lighted,Clear
Illinois,170481,8,COOK (31),SKOKIE,August,Sunday,Interstate,Urban,42.01884444,-87.76149167,Motor Vehicle In-Transport,Front-to-Rear,Dark - Lighted,Clear
Illinois,170484,2,CARROLL (15),SAVANNA,August,Friday,State Highway,Rural,42.07768611,-90.12583333,Motor Vehicle In-Transport,Front-to-Front,Daylight,Clear
Illinois,170485,3,COOK (31),CHICAGO,August,Thursday,State Highway,Urban,41.95065278,-87.74721389,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170488,2,MADISON (119),ALTON,August,Monday,Local Street - Municipality,Urban,38.91608333,-90.16669722,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170490,1,TAZEWELL (179),PEKIN,August,Saturday,Local Street - Municipality,Urban,40.575125,-89.62826667,Non-Motorist on Personal Conveyance,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Illinois,170491,1,DUPAGE (43),ELMHURST,August,Wednesday,Interstate,Urban,41.88106944,-87.92068056,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Illinois,170492,1,DUPAGE (43),WINFIELD,August,Wednesday,County Road,Urban,41.85525833,-88.16166944,Curb,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Illinois,170493,1,COOK (31),CHICAGO,August,Saturday,Local Street - Municipality,Urban,41.72386667,-87.60450833,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170494,1,COOK (31),MELROSE PARK,August,Thursday,State Highway,Urban,41.90838889,-87.83164444,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Illinois,170495,2,COOK (31),DES PLAINES,August,Wednesday,Local Street - Municipality,Urban,42.04310833,-87.85998333,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170496,2,GRUNDY (63),MINOOKA,August,Saturday,Interstate,Urban,41.44936389,-88.32385,Parked Motor Vehicle,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170497,11,COOK (31),CHICAGO,April,Monday,Interstate,Urban,41.83125833,-87.63026944,Motor Vehicle In-Transport,Front-to-Rear,Daylight,Clear
Illinois,170498,1,WILL (197),HOMER GLEN,August,Saturday,Local Street - Municipality,Urban,41.636975,-87.99901667,Mail Box,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170500,4,COOK (31),MELROSE PARK,August,Sunday,Local Street - Municipality,Urban,41.89691944,-87.8738,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170505,2,COOK (31),CHICAGO,August,Tuesday,Local Street - Municipality,Urban,41.80159722,-87.64535,Motor Vehicle In-Transport,Angle,Daylight,Cloudy
Illinois,170509,1,ST. CLAIR (163),BELLEVILLE,August,Saturday,State Highway,Urban,38.55593611,-90.01891944,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Illinois,170510,1,ST. CLAIR (163),CAHOKIA,August,Thursday,State Highway,Urban,38.55464722,-90.16689167,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170518,1,MADISON (119),GODFREY,August,Saturday,U.S. Highway,Rural,38.99364722,-90.22551667,Embankment,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Illinois,170520,3,DUPAGE (43),ITASCA,August,Wednesday,Interstate,Urban,41.97350833,-88.02464722,Motor Vehicle In-Transport,Sideswipe - Same Direction,Daylight,Clear
Illinois,170522,1,LAKE (97),WAUCONDA,August,Saturday,Local Street - Municipality,Urban,42.26243889,-88.14408056,Parked Motor Vehicle,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dawn,Clear
Illinois,170524,1,SANGAMON (167),SPRINGFIELD,August,Wednesday,State Highway,Urban,39.78701389,-89.601125,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170525,3,DUPAGE (43),WEST CHICAGO,August,Thursday,Local Street - Municipality,Urban,41.88216389,-88.21463611,Motor Vehicle In-Transport,Angle,Dusk,Clear
Illinois,170526,1,JACKSON (77),CARBONDALE,August,Tuesday,County Road,Rural,37.77043056,-89.17038333,Fell/Jumped from Vehicle,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170527,2,LAKE (97),ROUND LAKE BEACH,August,Saturday,Local Street - Municipality,Urban,42.36586667,-88.11893611,Embankment,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170530,1,MACON (115),DECATUR,August,Sunday,Local Street - Municipality,Urban,39.85908889,-89.00581111,Utility Pole/Light Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Illinois,170531,6,COOK (31),CHICAGO,August,Monday,Local Street - Municipality,Urban,41.98203611,-87.78490833,Motor Vehicle In-Transport,Front-to-Front,Daylight,Rain
Illinois,170533,1,COOK (31),CHICAGO,August,Tuesday,Local Street - Municipality,Urban,41.88546389,-87.72533056,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170535,1,PIKE (149),KINDERHOOK,August,Saturday,State Highway,Rural,39.70088889,-91.15333611,Building,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170536,2,COOK (31),FLOSSMOOR,August,Sunday,Local Street - Municipality,Urban,41.54260556,-87.66738611,Other Fixed Object,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Illinois,170538,3,LAKE (97),OLD MILL CREEK,August,Friday,State Highway,Urban,42.46578611,-87.98048333,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Illinois,170542,1,COOK (31),ELK GROVE VILLAGE,August,Wednesday,Local Street - Municipality,Urban,41.99935556,-88.00346667,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Illinois,170545,3,WINNEBAGO (201),ROCKFORD,August,Saturday,Local Street - Municipality,Urban,42.25261389,-89.03588333,Motor Vehicle In-Transport,Front-to-Front,Daylight,Clear
Illinois,170546,2,SHELBY (173),SHELBYVILLE,August,Thursday,State Highway,Rural,39.40549444,-88.780975,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170548,2,KANKAKEE (91),HOPKINS PARK,August,Saturday,County Road,Rural,41.0528,-87.58155833,Motor Vehicle In-Transport,Front-to-Rear,Dark - Not Lighted,Clear
Illinois,170549,1,COOK (31),CHICAGO,August,Saturday,Local Street - Municipality,Urban,41.92423056,-87.74532778,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170550,7,COOK (31),CHICAGO,August,Thursday,Local Street - Municipality,Urban,41.88178611,-87.64735833,Motor Vehicle In-Transport,Angle,Dark - Lighted,Clear
Illinois,170551,1,COOK (31),CHICAGO,August,Wednesday,Local Street - Municipality,Urban,41.81553333,-87.694425,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170552,1,COOK (31),CHICAGO,August,Saturday,Local Street - Municipality,Urban,41.78386389,-87.61563611,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170553,1,COOK (31),SUMMIT,August,Friday,State Highway,Urban,41.77676389,-87.80090556,Utility Pole/Light Support,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Illinois,170557,2,MONROE (133),COLUMBIA,September,Monday,State Highway,Urban,38.42097222,-90.17398056,Culvert,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170558,1,WINNEBAGO (201),ROCKFORD,September,Sunday,U.S. Highway,Urban,42.21933056,-89.11112222,Concrete Traffic Barrier,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Rain
Illinois,170559,1,MADISON (119),TROY,September,Wednesday,Interstate,Urban,38.71771944,-89.91726944,"Post, Pole or Other Supports",The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Illinois,170562,2,EFFINGHAM (49),EFFINGHAM,September,Saturday,Local Street - Municipality,Urban,39.12050556,-88.562275,Motor Vehicle In-Transport,Front-to-Front,Daylight,Clear
Illinois,170563,3,COOK (31),SCHILLER PARK,September,Sunday,State Highway,Urban,41.95298056,-87.85268333,Motor Vehicle In-Transport,Sideswipe - Opposite Direction,Dark - Lighted,Clear
Illinois,170565,3,WINNEBAGO (201),ROCKFORD,September,Thursday,Local Street - Municipality,Urban,42.28809722,-89.14524444,Motor Vehicle In-Transport,Angle,Dark - Lighted,Clear
Illinois,170566,1,LAKE (97),WAUKEGAN,September,Saturday,Local Street - Municipality,Urban,42.35948889,-87.86401389,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Illinois,170567,1,COOK (31),SKOKIE,September,Monday,Interstate,Urban,42.02240556,-87.76657778,Concrete Traffic Barrier,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Rain
Illinois,170570,2,COOK (31),CHICAGO,September,Saturday,Local Street - Municipality,Urban,41.858825,-87.72861111,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170572,1,ST. CLAIR (163),FAIRVIEW HEIGHTS,September,Sunday,Local Street - Municipality,Urban,38.59930833,-89.994525,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Illinois,170573,1,COOK (31),CHICAGO,September,Monday,Local Street - Municipality,Urban,41.89245833,-87.62874167,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Illinois,170576,1,PIATT (147),MONTICELLO,September,Friday,Local Street - Municipality,Urban,40.02504722,-88.56741944,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Illinois,170579,2,LAKE (97),GURNEE,September,Monday,U.S. Highway,Urban,42.371675,-87.99850556,Motor Vehicle In-Transport,Front-to-Front,Daylight,Cloudy
Illinois,170581,3,DUPAGE (43),NAPERVILLE,February,Sunday,Local Street - Municipality,Urban,41.76808611,-88.15891389,Motor Vehicle In-Transport,Angle,Daylight,Cloudy
Illinois,170582,1,COOK (31),ELK GROVE VILLAGE,February,Thursday,Local Street - Municipality,Urban,41.99653333,-87.98004167,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170583,3,COOK (31),TINLEY PARK,February,Saturday,Local Street - Municipality,Urban,41.57985556,-87.83171389,Motor Vehicle In-Transport,Front-to-Front,Daylight,Clear
Illinois,170584,1,COOK (31),HARVEY,May,Sunday,State Highway,Urban,41.62261667,-87.64135833,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dusk,Clear
Illinois,170586,3,COOK (31),CHICAGO,June,Thursday,Local Street - Municipality,Urban,41.86418333,-87.64673056,Fell/Jumped from Vehicle,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170588,1,ST. CLAIR (163),CENTREVILLE,August,Saturday,Local Street - Municipality,Urban,38.57918611,-90.13305833,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170589,1,COOK (31),STONE PARK,August,Saturday,State Highway,Urban,41.90741944,-87.88213333,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Illinois,170591,1,MADISON (119),SOUTH ROXANA,August,Sunday,State Highway,Urban,38.80058056,-90.06698889,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Not Lighted,Clear
Illinois,170592,3,COOK (31),TINLEY PARK,August,Thursday,Local Street - Municipality,Urban,41.58015278,-87.81281944,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170593,3,COOK (31),HARVEY,September,Sunday,State Highway,Urban,41.62264167,-87.66081667,Motor Vehicle In-Transport,Angle,Dark - Lighted,Clear
Illinois,170595,1,COOK (31),PALOS HEIGHTS,September,Thursday,Local Street - Municipality,Urban,41.65074444,-87.77718611,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Illinois,170597,1,COOK (31),CHICAGO,September,Monday,Interstate,Urban,41.73859167,-87.57036389,Guardrail Face,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Cloudy
Illinois,170598,3,MCHENRY (111),CRYSTAL LAKE,September,Tuesday,Local Street - Municipality,Urban,42.21883611,-88.31868333,Motor Vehicle In-Transport,Angle,Dark - Lighted,Clear
Illinois,170599,1,KANE (89),AURORA,September,Saturday,Local Street - Municipality,Urban,41.77608889,-88.30458056,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Illinois,170600,2,COOK (31),MIDLOTHIAN,September,Thursday,Local Street - Municipality,Urban,41.63078889,-87.73259167,Motor Vehicle In-Transport,Angle,Dark - Not Lighted,Clear
Illinois,170602,1,COOK (31),CHICAGO,September,Sunday,State Highway,Urban,41.91798333,-87.74614722,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Rain
Illinois,170603,3,MADISON (119),SAINT JACOB,September,Tuesday,Local Street - Municipality,Rural,38.71413056,-89.76838333,Motor Vehicle In-Transport,Angle,Daylight,Clear
Illinois,170608,1,LAKE (97),WAUKEGAN,September,Thursday,Local Street - Municipality,Urban,42.34486667,-87.84494444,Pedalcyclist,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
Illinois,170609,1,POPE (151),EDDYVILLE,September,Sunday,State Highway,Rural,37.59965556,-88.45805556,Tree (Standing Only),The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170612,1,MADISON (119),ALTON,September,Saturday,State Highway,Urban,38.8909,-90.11891389,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170614,2,COOK (31),FOREST PARK,September,Sunday,Local Street - Municipality,Urban,41.86474722,-87.81880556,Motor Vehicle In-Transport,Angle,Dark - Lighted,Rain
Illinois,170615,2,CLARK (23),MARTINSVILLE,September,Sunday,Local Street - Municipality,Rural,39.32966111,-87.87873333,Rollover/Overturn,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Daylight,Clear
Illinois,170618,1,COOK (31),BELLWOOD,February,Friday,U.S. Highway,Urban,41.87771667,-87.88308333,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Snow
Illinois,170619,1,COOK (31),WHEELING,August,Thursday,Local Street - Municipality,Urban,42.14414167,-87.91581667,Pedestrian,The First Harmful Event was Not a Collision with a Motor Vehicle in Transport,Dark - Lighted,Clear
